Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_LEA,Geo_SCHOOL,SE_T001_001,SE_T001_002,SE_T001_003,SE_T001_004,SE_T001_005,SE_T001_006,SE_T001_007,SE_T001_008,SE_T001_009,SE_T002_001,SE_T002_002,SE_T002_003,SE_T002_004,SE_T002_005,SE_T002_006,SE_T002_007,SE_T002_008,SE_T002_009,SE_T003_001,SE_T003_002,SE_T003_003,SE_T003_004,SE_T003_005
"44","Rhode Island","Rhode Island","00","44",,,2.53939393939394,2.59649122807018,2.61111111111111,83,29,27.5,165,57,54,141448,81512,12151,4687,35924,1047,246,5881,13.7516233766234,29,66153,"0",0,1
"45","South Carolina","South Carolina","00","45",,,2.50863422291994,2.51801801801802,2.508038585209,319,111.5,156,637,222,311,777366,394694,261314,12351,73628,2540,1050,31684,14.8829611248966,58,512022,"0",125,2
"46","South Dakota","South Dakota","00","46",,,2.52941176470588,2.52898550724638,2.53741496598639,102.5,69.4927536231884,74,204,138,147,137298,101467,4411,2450,8185,15173,153,5459,12.8622641509434,0,51412,"0",0,9
"47","Tennessee","Tennessee","00","47",,,2.50659898477157,2.51169590643275,2.51045296167247,493,171.5,287.5,985,342,574,1001967,629502,219426,19811,103177,1649,1096,27306,15.7349241998877,107,0,"0",123,17
"48","Texas","Texas","00","48",,,2.50056548292242,2.50135943447526,2.50188501413761,2211,920,1061.5,4421,1839,2122,5401341,1504977,681267,235515,2828492,20592,8027,122471,17.5150316827036,709,3169088,"0",252,7
"49","Utah","Utah","00","49",,,2.50757575757576,2.54471544715447,2.52325581395349,264.5,62,86.5,528,123,172,668274,497368,9533,11362,114573,7117,10518,17800,,130,227621,"0",22,18
"50","Vermont","Vermont","00","50",,,2.52816901408451,2.6304347826087,2.5,71.5,23.5,40.5,142,46,80,84348,75921,1770,1741,1735,127,58,2996,12.0118644067797,0,32171,"0",2,0
"51","Virginia","Virginia","00","51",,,2.50362976406534,2.51681957186544,2.50593824228029,551.498185117967,164,211,1102,327,421,1291462,632096,288956,90299,203071,3485,2045,71510,15.105597416577,8,560281,"0",125,0
"53","Washington","Washington","00","53",,,2.50532859680284,2.51449275362319,2.51162790697674,563.5,207.5,258.5,1126,414,516,1110367,603896,48441,85396,257984,13554,12141,88955,18.4936062557498,10,477543,"0",49,24
"54","West Virginia","West Virginia","00","54",,,2.50656167979003,2.55263157894737,2.5,191,57.5,85.5,381,114,170,272266,245227,11653,1812,4821,251,117,8379,14.4596992481203,0,0,"0",0,0
"55","Wisconsin","Wisconsin","00","55",,,2.50562851782364,2.50995024875622,2.50974025974026,533.5,201.5,308.5,1066,402,616,860752,601240,79006,34180,103431,9637,667,32569,17.7609241812472,222,319045,"0",10,40
"56","Wyoming","Wyoming","00","56",,,2.5359477124183,2.57142857142857,2.57894736842105,77,39,38.5,153,77,76,94258,73420,1047,768,12945,3467,136,2475,11.389010989011,5,34938,"0",0,0
